"ORDEN","P6020","P6051","P5502","P6071","P6071S1","P6081","P6081S1","P6083","P6083S1","LLAVEHOG"
3,2,3,5,0,0,2,0,1,1,"60001591"
1,1,1,1,1,2,3,0,3,0,"60001601"
2,2,2,1,1,1,2,0,2,0,"60001601"
3,2,3,5,0,0,1,1,1,2,"60001601"
4,2,3,5,0,0,1,1,1,2,"60001601"
1,1,1,5,0,0,2,0,2,0,"60001621"
2,1,7,5,0,0,2,0,2,0,"60001621"
1,2,1,4,0,0,3,0,3,0,"60001631"
1,2,1,4,0,0,2,0,2,0,"60001641"
1,1,1,2,1,2,2,0,2,0,"60001661"
2,2,2,2,1,1,2,0,2,0,"60001661"
3,1,3,5,0,0,1,1,1,2,"60001661"
4,2,3,0,0,0,1,1,1,2,"60001661"
5,2,3,0,0,0,1,1,1,2,"60001661"
1,1,1,6,1,2,2,0,2,0,"60001671"
2,2,2,6,1,1,3,0,2,0,"60001671"
1,1,1,4,0,0,2,0,3,0,"60001691"
1,1,1,4,0,0,2,0,2,0,"60001701"
1,1,1,4,0,0,3,0,3,0,"60001711"
1,2,1,2,1,2,3,0,2,0,"60001721"
2,1,2,2,1,1,2,0,2,0,"60001721"
1,1,1,6,1,2,2,0,2,0,"60001741"
2,2,2,6,1,1,3,0,2,0,"60001741"
1,1,1,6,1,2,3,0,2,0,"60001751"
2,2,2,6,1,1,3,0,3,0,"60001751"
3,2,3,5,0,0,1,1,1,2,"60001751"
1,2,1,3,0,0,3,0,2,0,"60001761"
1,2,1,5,0,0,3,0,3,0,"60001771"
2,2,14,5,0,0,3,0,3,0,"60001771"
1,1,1,6,1,2,2,0,2,0,"60001781"
2,2,2,6,1,1,3,0,2,0,"60001781"
1,2,1,4,0,0,3,0,3,0,"60001791"
